,cant_carga,total_trips,demanda,latitude,longitude
,,,0,-12.038805,-76.947609
0,20,1,20,-12.22318,-76.97934
1,0,0,0,-12.22196,-76.97573
2,180,3,540,-12.22297,-76.97526
3,0,0,0,-12.22778,-76.97404
4,0,0,0,-12.22739,-76.97384
5,200,4,800,-12.2268,-76.97345
6,10,2,20,-12.22521,-76.97292
7,0,0,0,-12.22811,-76.96965
8,0,0,0,-12.22891,-76.96959
9,0,0,0,-12.22817,-76.96957
10,128,4,512,-12.23089,-76.96677
11,30,2,60,-11.96299,-77.01987
12,30,2,60,-12.00862,-76.9768
13,35,37,1295,-12.00912,-76.97629
14,0,0,0,-12.00759,-76.97502
15,20,2,40,-12.0911282735856,-77.036468423903
16,15,3,45,-12.0913922,-77.0379104
17,42,2,84,-12.0910028,-77.0356114
18,0,0,0,-12.0918862,-77.0346093
19,0,0,0,-12.1013592541055,-77.035934664309
20,0,0,0,-12.1011973081561,-77.036138176918
21,20,1,20,-12.1037484371928,-77.0361713692546
22,65,4,260,-12.1032591,-77.0307201
23,0,0,0,-12.1032331,-77.0306406
24,0,0,0,-12.103308,-77.0311031
25,21,3,63,-12.1033049,-77.0313276
26,45,6,270,-12.1025038501921,-77.0307034414446
27,30,4,120,-12.1031200001884,-77.0306493714452
28,9,2,18,-12.1004714,-77.0303379
29,30,2,60,-12.1011107621025,-77.0308002457023
30,35,2,70,-12.1006773757606,-77.0308713242412
31,20,1,20,-12.1008491568153,-77.0308465138078
32,25,4,100,-12.0961552981362,-77.0315073430538
33,30,3,90,-12.0985910794812,-77.0308394730091
34,14,2,28,-12.0972629,-77.0313743
35,18,2,36,-12.0961737,-77.0315519
36,10,2,20,-12.0896052,-77.049238
37,8,1,8,-12.0918812,-77.0515987
38,0,0,0,-12.0976269990318,-77.0455595199736
39,70,1,70,-12.0976574672499,-77.0455623698207
40,800,7,5600,-12.0962958196266,-77.0516591546857
41,0,0,0,-12.0962424343565,-77.0518132579299
42,10,1,10,-12.0958796842873,-77.0526792986581
43,40,7,280,-12.0966984,-77.0535241
44,25,4,100,-12.0969298,-77.0535526
45,0,0,0,-12.0969909,-77.0535192
46,10,2,20,-12.1062205290335,-77.0563405522146
47,0,0,0,-12.1054777409994,-77.0474354737224
48,10,2,20,-12.1075107716137,-77.0407237485769
49,50,2,100,-12.0990075,-77.036104
50,0,0,0,-12.098385,-77.0362686
51,0,0,0,-12.0962142,-77.0362194
52,5,2,10,-12.0894045196586,-77.0472885389598
53,150,1,150,-12.0895049767681,-77.0473922231021
54,13,2,26,-12.089529661473,-77.0475570113184
55,0,0,0,-12.0894624386095,-77.047624485639
56,0,0,0,-12.092076764527,-77.0474559684406
57,10,1,10,-12.0972711453327,-77.0456849970641
58,0,0,0,-12.0966274989882,-77.0536649041595
59,0,0,0,-12.0965181151518,-77.0562881883951
60,10,2,20,-12.0966474060082,-77.0561128389808
61,0,0,0,-12.096845135104,-77.0565315150442
62,8,2,16,-12.0928919362017,-77.0565514639738
63,100,6,600,-12.1009689476454,-77.0549589023712
64,100,7,700,-12.1011247253158,-77.0540503040674
65,0,0,0,-12.0750633735524,-77.0875450361366
66,0,0,0,-12.0751135512893,-77.0874096080661
67,0,0,0,-12.0751135512893,-77.0874096080661
68,0,0,0,-12.0761349297116,-77.0831563994462
69,0,0,0,-12.0751073219897,-77.0875205844641
70,0,0,0,-12.0749576982151,-77.087570933103
71,0,0,0,-12.0749576982151,-77.087570933103
72,0,0,0,-12.0750148660517,-77.0874947682023
73,0,0,0,-12.0742759253268,-77.087381297604
74,0,0,0,-12.0740561331032,-77.0870886423751
75,0,0,0,-12.0740270280984,-77.0870957896113
76,0,0,0,-12.073857196978,-77.0868996530771
77,30,6,180,-12.0712202107668,-77.0901702716947
78,0,0,0,-12.0712937491389,-77.0903070574787
79,30,6,180,-12.0712202107668,-77.0901702716947
80,0,2,0,-12.0716624970991,-77.0892526209354
81,0,0,0,-12.0718660993832,-77.0894246175885
82,50,3,150,-12.0702838334392,-77.0943538472056
83,0,0,0,-12.0645497717363,-77.1040928088042
84,50,4,200,-12.0645497717363,-77.1040928088042
85,0,0,0,-12.070217277083,-77.0943444594741
86,0,0,0,-12.0685891001863,-77.1029885485768
87,0,0,0,-12.0679714002008,-77.1039276570082
88,700,0,0,-12.0641730385836,-77.0996649563313
89,0,0,0,-12.0642163175862,-77.1010657399893
90,0,0,0,-12.0643763186867,-77.1029191464186
91,0,0,0,-12.064449106041,-77.1035021916032
92,0,0,0,-12.0749286393858,-77.081605643034
93,0,0,0,-12.0745945517754,-77.082300670445
94,0,0,0,-12.0821956149268,-77.0761589395497
95,0,7,0,-12.0816656386309,-77.0766245465046
96,0,0,0,-12.0831993933527,-77.0790225576565
97,0,0,0,-12.0842721312875,-77.0797674035835
98,0,0,0,-12.0844376643407,-77.0797455520991
