,latitude,longitude,cluster_index,cluster_name,demand
0,-12.1181949414449,-77.0081710013819,0,down,33284
1,-12.139289599814699,-76.98863457888359,0,0,down
2,-12.1303341963559,-77.0076685398817,180,0,down
3,-12.133163993458801,-77.00442206114529,6660,0,down
4,-12.1352841090259,-77.0041179656982,900,0,down
5,-12.1358773974673,-77.0044311136007,560,0,down
6,-12.1334213058485,-77.01622176915409,140,0,down
7,-12.133580282169001,-77.01383527368309,270,0,down
8,-12.133941174453799,-76.99872907251121,105,0,down
9,-12.134840289073999,-77.0011789351702,60,0,down
10,-12.1304197495641,-77.0083240047097,600,0,down
11,-12.1333154308443,-76.9991669431329,140,0,down
12,-12.133198738840498,-76.99786975979801,40,0,down
13,-12.128818162730598,-76.995945610106,60,0,down
14,-12.1324333560322,-76.9953582063317,100,0,down
15,-12.1286005087629,-76.9977232441306,220,0,down
16,-12.1296540309849,-76.98809981346129,120,0,down
17,-12.13053743,-76.98732667,40,0,down
18,-12.1085942695447,-76.9713779166341,150,0,down
19,-12.1386428908533,-76.9883911684155,300,0,down
20,-12.1352388748254,-76.99760925024749,50,0,down
21,-12.1302568378759,-77.0079444721341,180,0,down
22,-12.1402637575366,-76.9986660405993,160,0,down
23,-12.139964823917301,-76.9990707188845,0,0,down
24,-12.1390650630476,-77.02464233057141,50,0,down
25,-12.1463436405341,-77.02158551663159,0,0,down
26,-12.1501630079114,-77.0205951948436,20,0,down
27,-12.1503868047261,-77.02045907273609,60,0,down
28,-12.1482862997913,-77.0202900097491,0,0,down
29,-12.147750193264502,-77.02153145342791,0,0,down
30,-12.146991589117901,-77.0206743200095,0,0,down
31,-12.145814895641198,-77.02135845094641,30,0,down
32,-12.146318564202799,-77.0219939668449,25,0,down
33,-12.146917744551,-77.02233385301851,40,0,down
34,-12.1311874326782,-76.9875667244196,210,0,down
35,-12.132256678489199,-76.9857545569539,0,0,down
36,-12.1287942339145,-76.98784299194809,0,0,down
37,-12.136097995539801,-76.9895150139928,0,0,down
38,-12.136818461672199,-76.9896015152335,100,0,down
39,-12.136562791475198,-76.9897590950131,250,0,down
40,-12.1359311539238,-76.9897966459394,80,0,down
41,-12.136182563548902,-76.9890831783414,0,0,down
42,-12.1386776355206,-76.9884394481778,240,0,down
43,-12.139290910931098,-76.9886023923755,88,0,down
44,-12.1397059056886,-77.0243241891815,0,0,down
45,-12.1395403507128,-76.9896363839507,110,0,down
46,-12.1214034049182,-76.9938280060887,560,0,down
47,-12.1091630311407,-77.01016064733271,0,0,down
48,-12.1084641262311,-77.01385438442229,0,0,down
49,-12.1104533123222,-77.0129588618875,0,0,down
50,-12.109045,-77.0115922,0,0,down
51,-12.1089020893716,-77.0114869996905,0,0,down
52,-12.1087175286447,-77.0111121609807,0,0,down
53,-12.108445768479,-77.0109244063497,0,0,down
54,-12.108445112844999,-77.0109207183123,0,0,down
55,-12.116084021303001,-77.0067843873405,0,0,down
56,-12.1084323279811,-77.010914683342,0,0,down
57,-12.108203511596301,-77.0103688538074,0,0,down
58,-12.1157045219376,-77.02296383678909,30,0,down
59,-12.1147086390697,-77.0232374221087,0,0,down
60,-12.1144886789228,-77.0232863724232,0,0,down
61,-12.113943531011401,-77.0232528448105,0,0,down
62,-12.1138366648441,-77.02335879206659,0,0,down
63,-12.1111174637722,-77.0246408879757,0,0,down
64,-12.1109096297843,-77.02466636896129,0,0,down
65,-12.1083802050683,-77.0106156170368,0,0,down
66,-12.115025749198999,-76.999581676174,0,0,down
67,-12.1181949414449,-77.0081710013819,0,0,down
68,-12.1151581334046,-76.99996443111941,50,0,down
69,-12.125566118603698,-76.9837499409914,105,0,down
70,-12.1105631301735,-76.9711402058601,350,0,down
71,-12.1383131440679,-76.9817838817835,220,0,down
72,-12.1383918113302,-76.9832772016525,0,0,down
73,-12.1137379938971,-76.973314806819,90,0,down
74,-12.1143329693202,-76.9734298065305,300,0,down
75,-12.1209530058268,-76.98811724781991,120,0,down
76,-12.1213929152828,-76.9882909208536,200,0,down
77,-12.1255058041359,-76.9832272455096,180,0,down
78,-12.1256759302358,-76.9830106571317,200,0,down
79,-12.1106185308037,-76.97108320891859,200,0,down
80,-12.1119845296894,-76.9700435176492,250,0,down
81,-12.143477272752099,-76.9833593443036,0,0,down
82,-12.133531114245,-76.9830817356706,0,0,down
83,-12.1176974338588,-77.0019377298649,0,0,down
84,-12.117617677175,-77.0033224185006,40,0,down
85,-12.118898918956802,-77.003914140281,60,0,down
86,-12.1153973278089,-77.0047579196042,50,0,down
87,-12.116348279045,-77.000275936377,140,0,down
88,-12.139404650256,-76.989777199924,140,0,down
89,-12.110570669904899,-77.0246817916632,0,0,down
90,-12.1467256811787,-77.022282926568,60,0,down
91,-12.1501336748974,-77.0206283635467,0,0,down
92,-12.118324051475302,-77.0250002424019,560,0,down
93,-12.118669663889001,-77.02554145165529,1600,0,down
94,-12.118425656379198,-77.02555321264,240,0,down
95,-12.1183252987515,-77.0254934700303,1400,0,down
96,-12.1183914819365,-77.02548966372109,1550,0,down
97,-12.1183676222828,-77.0253408794091,1000,0,down
98,-12.118397431418199,-77.0249607850815,600,0,down
99,-12.118433926319302,-77.0250923159891,540,0,down
100,-12.1184134440887,-77.02484666641891,300,0,down
